,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a
1,0,0,3,0,0,4,0,0,0,0,0,0
2,3,0,3,0,0,4,-,0,0,0,0,0
3,3,3,2,0,0,5,5,0,3,0,3,2
4,3,3,a,3,a,0,0,0,3,0,0,0
5,3,3,3,0,0,0,0,0,5,S,0,0
6,2,3,3,0,0,7,0,0,9,2,0,0
7,3,3,3,3,3,0,S,0,0,7,0,6
8,3,3,3,0,0,0,0,0,0,S,0,7
9,3,2,2,0,0,2,0,0,0,0,0,0
10,3,&,3,0,0,0,0,3,0,0,0,4
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,2,0,4,0,3,2,0,0,0
14,2,0,3,3,3,0,0,7,6,0,0,0
15,3,23,3,0,0,0,0,0,0,0,0,0
16,0,0,3,0,0,0,0,0,0,3,0,3
17,3,0,3,2,2,0,7,0,S,0,2,0
18,2,3,3,0,0,0,0,a,0,0,0,0
19,3,a,3,0,0,2,2,0,0,0,0,0
20,3,&,3,0,0,2,2,0,-,0,2,0
21,3,3,3,0,0,0,0,S,4,S,0,3
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,3,2,2,3,3,0,0,0,0,7,0,0
25,2,0,3,0,0,0,S,0,0,5,0,0
26,&,3,3,0,0,2,3,0,0,0,0,0
27,0,3,3,0,0,6,3,2,0,S,0,0
28,2,0,2,0,&,0,0,0,0,0,0,0
29,3,0,3,0,3,7,6,0,6,7,0,0
30,3,2,3,0,0,0,3,0,0,0,0,0
31,3,3,3,0,3,S,S,7,0,0,0,2
32,3,3,3,3,3,S,4,0,0,0,0,0
33,3,3,3,0,2,0,0,3,3,0,0,0
34,0,3,3,0,&,6,0,0,0,6,5,0
