1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c,10a,10b,10c,11a,11b,11c,12a,12b,12c
,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
3,,,,,,3,,,,,,,,,4,,,-,,,,,,,,,,,,,,,,,
3,,,3,,,2,,,,,,,,,5,,,5,,,,,,3,,,,,,3,,,2,,
3,,,3,,,a,,,3,,,a,,,,,,,,,,,,3,,,,,,,,,,,
3,,,3,,,3,,,,,,,,,,,,,,,,,,5,,,S,,,,,,,,
2,,,3,,,3,,,,,,,,,7,,,,,,,,,9,,,2,,,,,,,,
3,,,3,,,3,,,3,,,3,,,,,,S,,,,,,,,,7,,,,,,6,,
3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,S,,,,,,7,,
3,,,2,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
3,,,&,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,,
,,,&,,,2,,,,,,,,,,,,6,,,,,,,,,0,,,,,,4,,
,,,,,,2,,,2,,,,,,4,,,,,,3,,,2,,,,,,,,,,,
2,,,,,,3,,,3,,,3,,,,,,,,,7,,,6,,,,,,,,,,,
3,,,23,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,
3,,,,,,3,,,2,,,2,,,,,,7,,,,,,S,,,,,,2,,,,,
2,,,3,,,3,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,
3,,,a,,,3,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,
3,,,&,,,3,,,,,,,,,2,,,2,,,,,,-,,,,,,2,,,,,
3,,,3,,,3,,,,,,,,,,,,,,,S,,,4,,,S,,,,,,3,,
3,,,2,,,2,,,3,,,3,,,,,,,,,,,,,,,7,,,,,,,,
2,,,,,,3,,,,,,,,,,,,S,,,,,,,,,5,,,,,,,,
&,,,3,,,3,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,
,,,3,,,3,,,,,,,,,6,,,3,,,2,,,,,,S,,,,,,,,
2,,,,,,2,,,,,,&,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,3,,,,,,3,,,7,,,6,,,,,,6,,,7,,,,,,,,
3,,,2,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
3,,,3,,,3,,,,,,3,,,S,,,S,,,7,,,,,,,,,,,,2,,
3,,,3,,,3,,,3,,,3,,,S,,,4,,,,,,,,,,,,,,,,,
3,,,3,,,3,,,,,,2,,,,,,,,,3,,,3,,,,,,,,,,,
,,,3,,,3,,,,,,&,,,6,,,,,,,,,,,,6,,,5,,,,,
